run_id,target_task_id,split,condition,source_set_id,routing_decision,memory_attached,em,f1,token_usage,failure_status,note,pred_answer,gold_answer,prompt_chars,raw_output
r1_no_memory_wiki_dev_7019_irrelevant,wiki_dev_7019,irrelevant,no_memory,hp_comparison_set_01,n/a,false,0,0.0,1161,ok,,Best Song,Sanremo Music Festival,4962,Best Song
r1_episodic_trace_wiki_dev_7019_relevant,wiki_dev_7019,relevant,episodic_trace,hp_bridge_set_01,n/a,true,0,0.0,1989,ok,,Best Song,Sanremo Music Festival,8342,Best Song
r1_cross_episode_consolidation_wiki_dev_7019_relevant,wiki_dev_7019,relevant,cross_episode_consolidation,hp_bridge_set_01,n/a,true,0,0.0,1859,ok,,Best Song,Sanremo Music Festival,8281,Best Song
r1_episodic_trace_wiki_dev_7019_irrelevant,wiki_dev_7019,irrelevant,episodic_trace,hp_comparison_set_01,n/a,true,0,0.0,2087,ok,,Best Song,Sanremo Music Festival,8968,Best Song
r1_cross_episode_consolidation_wiki_dev_7019_irrelevant,wiki_dev_7019,irrelevant,cross_episode_consolidation,hp_comparison_set_01,n/a,true,0,0.0,1870,ok,,Best Song,Sanremo Music Festival,8471,Best Song
r1_no_memory_wiki_dev_0123_relevant,wiki_dev_0123,relevant,no_memory,hp_comparison_set_01,n/a,false,1,1.0,1903,ok,,Leave It To Henry,Leave It To Henry,7263,Leave It To Henry
r1_no_memory_wiki_dev_0123_irrelevant,wiki_dev_0123,irrelevant,no_memory,hp_bridge_set_01,n/a,false,1,1.0,1903,ok,,Leave It To Henry,Leave It To Henry,7263,Leave It To Henry
r1_episodic_trace_wiki_dev_0123_relevant,wiki_dev_0123,relevant,episodic_trace,hp_comparison_set_01,n/a,true,1,1.0,2829,ok,,Leave It To Henry,Leave It To Henry,11269,Leave It To Henry
r1_cross_episode_consolidation_wiki_dev_0123_relevant,wiki_dev_0123,relevant,cross_episode_consolidation,hp_comparison_set_01,n/a,true,1,1.0,2612,ok,,Leave It To Henry,Leave It To Henry,10772,Leave It To Henry
r1_episodic_trace_wiki_dev_0123_irrelevant,wiki_dev_0123,irrelevant,episodic_trace,hp_bridge_set_01,n/a,true,1,1.0,2731,ok,,Leave It To Henry,Leave It To Henry,10643,Leave It To Henry
r1_cross_episode_consolidation_wiki_dev_0123_irrelevant,wiki_dev_0123,irrelevant,cross_episode_consolidation,hp_bridge_set_01,n/a,true,1,1.0,2601,ok,,Leave It To Henry,Leave It To Henry,10582,Leave It To Henry
r1_no_memory_wiki_dev_10727_relevant,wiki_dev_10727,relevant,no_memory,hp_comparison_set_01,n/a,false,1,1.0,748,ok,,Au revoir les enfants,Au Revoir Les Enfants,2936,Au revoir les enfants
r1_no_memory_wiki_dev_10727_irrelevant,wiki_dev_10727,irrelevant,no_memory,hp_bridge_set_01,n/a,false,1,1.0,748,ok,,Au revoir les enfants,Au Revoir Les Enfants,2936,Au revoir les enfants
r1_episodic_trace_wiki_dev_10727_relevant,wiki_dev_10727,relevant,episodic_trace,hp_comparison_set_01,n/a,true,1,1.0,1674,ok,,Au revoir les enfants,Au Revoir Les Enfants,6942,Au revoir les enfants
r1_cross_episode_consolidation_wiki_dev_10727_relevant,wiki_dev_10727,relevant,cross_episode_consolidation,hp_comparison_set_01,n/a,true,1,1.0,1457,ok,,Au revoir les enfants,Au Revoir Les Enfants,6445,Au revoir les enfants
r1_episodic_trace_wiki_dev_10727_irrelevant,wiki_dev_10727,irrelevant,episodic_trace,hp_bridge_set_01,n/a,true,1,1.0,1576,ok,,Au revoir les enfants,Au Revoir Les Enfants,6316,Au revoir les enfants
r1_cross_episode_consolidation_wiki_dev_10727_irrelevant,wiki_dev_10727,irrelevant,cross_episode_consolidation,hp_bridge_set_01,n/a,true,1,1.0,1446,ok,,Au revoir les enfants,Au Revoir Les Enfants,6255,Au revoir les enfants
r1_no_memory_wiki_dev_12298_relevant,wiki_dev_12298,relevant,no_memory,hp_comparison_set_01,n/a,false,0,0.0,989,ok,,A Day For Lionhearts,Self-Made Maids,3595,A Day For Lionhearts
r1_no_memory_wiki_dev_12298_irrelevant,wiki_dev_12298,irrelevant,no_memory,hp_bridge_set_01,n/a,false,0,0.0,989,ok,,A Day For Lionhearts,Self-Made Maids,3595,A Day For Lionhearts
r1_episodic_trace_wiki_dev_12298_relevant,wiki_dev_12298,relevant,episodic_trace,hp_comparison_set_01,n/a,true,0,0.0,1915,ok,,A Day For Lionhearts,Self-Made Maids,7601,A Day For Lionhearts
r1_cross_episode_consolidation_wiki_dev_12298_relevant,wiki_dev_12298,relevant,cross_episode_consolidation,hp_comparison_set_01,n/a,true,0,0.0,1698,ok,,A Day For Lionhearts,Self-Made Maids,7104,A Day For Lionhearts
r1_episodic_trace_wiki_dev_12298_irrelevant,wiki_dev_12298,irrelevant,episodic_trace,hp_bridge_set_01,n/a,true,0,0.0,1817,ok,,A Day For Lionhearts,Self-Made Maids,6975,A Day For Lionhearts
r1_cross_episode_consolidation_wiki_dev_12298_irrelevant,wiki_dev_12298,irrelevant,cross_episode_consolidation,hp_bridge_set_01,n/a,true,0,0.0,1687,ok,,A Day For Lionhearts,Self-Made Maids,6914,A Day For Lionhearts
r1_no_memory_wiki_dev_2639_relevant,wiki_dev_2639,relevant,no_memory,hp_bridge_set_01,n/a,false,0,0.0,1780,ok,,"Francis Godolphin, 2nd Earl of Godolphin",Henry Pelham,6841,"Francis Godolphin, 2nd Earl of Godolphin"
r1_no_memory_wiki_dev_2639_irrelevant,wiki_dev_2639,irrelevant,no_memory,hp_comparison_set_01,n/a,false,0,0.0,1780,ok,,"Francis Godolphin, 2nd Earl of Godolphin",Henry Pelham,6841,"Francis Godolphin, 2nd Earl of Godolphin"
r1_episodic_trace_wiki_dev_2639_relevant,wiki_dev_2639,relevant,episodic_trace,hp_bridge_set_01,n/a,true,0,0.0,2608,ok,,"Francis Godolphin, 2nd Earl of Godolphin",Henry Pelham,10221,"Francis Godolphin, 2nd Earl of Godolphin"
r1_cross_episode_consolidation_wiki_dev_2639_relevant,wiki_dev_2639,relevant,cross_episode_consolidation,hp_bridge_set_01,n/a,true,0,0.0,2469,ok,,Francis Godolphin,Henry Pelham,10160,Francis Godolphin
r1_episodic_trace_wiki_dev_2639_irrelevant,wiki_dev_2639,irrelevant,episodic_trace,hp_comparison_set_01,n/a,true,0,0.0,2706,ok,,"Francis Godolphin, 2nd Earl of Godolphin",Henry Pelham,10847,"Francis Godolphin, 2nd Earl of Godolphin"
r1_cross_episode_consolidation_wiki_dev_2639_irrelevant,wiki_dev_2639,irrelevant,cross_episode_consolidation,hp_comparison_set_01,n/a,true,0,0.0,2485,ok,,"John Churchill, 1st Duke of Marlborough",Henry Pelham,10350,"John Churchill, 1st Duke of Marlborough"
r1_no_memory_wiki_dev_6083_relevant,wiki_dev_6083,relevant,no_memory,hp_bridge_set_01,n/a,false,0,0.0,779,ok,,Spain,Spanish,2882,Spain
r1_no_memory_wiki_dev_6083_irrelevant,wiki_dev_6083,irrelevant,no_memory,hp_comparison_set_01,n/a,false,0,0.0,779,ok,,Spain,Spanish,2882,Spain
r1_episodic_trace_wiki_dev_6083_relevant,wiki_dev_6083,relevant,episodic_trace,hp_bridge_set_01,n/a,true,0,0.0,1607,ok,,Spain,Spanish,6262,Spain
r1_cross_episode_consolidation_wiki_dev_6083_relevant,wiki_dev_6083,relevant,cross_episode_consolidation,hp_bridge_set_01,n/a,true,0,0.0,1477,ok,,Spain,Spanish,6201,Spain
r1_episodic_trace_wiki_dev_6083_irrelevant,wiki_dev_6083,irrelevant,episodic_trace,hp_comparison_set_01,n/a,true,0,0.0,1705,ok,,Spain,Spanish,6888,Spain
r1_cross_episode_consolidation_wiki_dev_6083_irrelevant,wiki_dev_6083,irrelevant,cross_episode_consolidation,hp_comparison_set_01,n/a,true,0,0.0,1488,ok,,Spain,Spanish,6391,Spain
r1_no_memory_wiki_dev_1379_relevant,wiki_dev_1379,relevant,no_memory,hp_bridge_set_01,n/a,false,0,0.2222,1458,ok,,Edward I of England,"Theobald II, Count of Bar",5630,Edward I of England
r1_no_memory_wiki_dev_1379_irrelevant,wiki_dev_1379,irrelevant,no_memory,hp_comparison_set_01,n/a,false,0,0.2222,1458,ok,,Edward I of England,"Theobald II, Count of Bar",5630,Edward I of England
r1_episodic_trace_wiki_dev_1379_relevant,wiki_dev_1379,relevant,episodic_trace,hp_bridge_set_01,n/a,true,0,0.2222,2286,ok,,Edward I of England,"Theobald II, Count of Bar",9010,Edward I of England
r1_cross_episode_consolidation_wiki_dev_1379_relevant,wiki_dev_1379,relevant,cross_episode_consolidation,hp_bridge_set_01,n/a,true,0,0.2222,2156,ok,,Edward I of England,"Theobald II, Count of Bar",8949,Edward I of England
r1_episodic_trace_wiki_dev_1379_irrelevant,wiki_dev_1379,irrelevant,episodic_trace,hp_comparison_set_01,n/a,true,0,0.2222,2384,ok,,Edward I of England,"Theobald II, Count of Bar",9636,Edward I of England
r1_cross_episode_consolidation_wiki_dev_1379_irrelevant,wiki_dev_1379,irrelevant,cross_episode_consolidation,hp_comparison_set_01,n/a,true,0,0.2222,2167,ok,,Edward I of England,"Theobald II, Count of Bar",9139,Edward I of England
